,Country,Time,Gender,Age,Chronic_percentage,Acute_percentage
0,0,2008,0,0,0.0,0.0
1,0,2008,0,1,0.0,10.92
2,0,2008,0,2,0.0,2.08
3,0,2008,0,3,0.0,11.96
4,0,2008,0,4,0.0,7.28
5,0,2008,0,5,0.0,3.64
6,0,2008,0,6,0.0,0.0
7,0,2008,0,7,0.0,5.72
8,0,2008,0,8,0.0,8.32
9,0,2008,1,0,0.0,0.0
10,0,2008,1,1,0.0,9.87
11,0,2008,1,2,0.0,1.88
12,0,2008,1,3,0.0,10.81
13,0,2008,1,4,0.0,6.58
14,0,2008,1,5,0.0,3.29
15,0,2008,1,6,0.0,0.0
16,0,2008,1,7,0.0,5.17
17,0,2008,1,8,0.0,7.52
18,0,2009,0,0,0.0,0.0
19,0,2009,0,1,0.09,0.8
20,0,2009,0,2,0.18,0.8
21,0,2009,0,3,0.21,4.32
22,0,2009,0,4,0.15,4.32
23,0,2009,0,5,0.12,1.76
24,0,2009,0,6,0.0,0.0
25,0,2009,0,7,0.12,1.76
26,0,2009,0,8,0.03,1.76
27,0,2009,1,0,0.0,0.0
28,0,2009,1,1,0.12,4.15
29,0,2009,1,2,0.24,4.15
30,0,2009,1,3,0.28,22.41
31,0,2009,1,4,0.2,22.41
32,0,2009,1,5,0.16,9.13
33,0,2009,1,6,0.0,0.0
34,0,2009,1,7,0.16,9.13
35,0,2009,1,8,0.04,9.13
36,0,2010,0,0,0.0,0.0
37,0,2010,0,1,0.42,0.0
38,0,2010,0,2,0.96,4.44
39,0,2010,0,3,0.72,9.25
40,0,2010,0,4,0.5399999999999999,13.69
41,0,2010,0,5,0.48,4.44
42,0,2010,0,6,0.06,0.0
43,0,2010,0,7,0.36,4.44
44,0,2010,0,8,0.12,0.0
45,0,2010,1,0,0.0,0.0
46,0,2010,1,1,0.49,0.0
47,0,2010,1,2,1.12,7.439999999999999
48,0,2010,1,3,0.8400000000000001,15.5
49,0,2010,1,4,0.63,22.94
50,0,2010,1,5,0.56,7.439999999999999
51,0,2010,1,6,0.07,0.0
52,0,2010,1,7,0.42,7.439999999999999
53,0,2010,1,8,0.14,0.0
54,0,2011,0,0,0.0,0.0
55,0,2011,0,1,0.16,0.0
56,0,2011,0,2,0.36,6.25
57,0,2011,0,3,0.4,0.0
58,0,2011,0,4,0.28,18.75
59,0,2011,0,5,0.24,0.0
60,0,2011,0,6,0.04,0.0
61,0,2011,0,7,0.2,0.0
62,0,2011,0,8,0.04,0.0
63,0,2011,1,0,0.0,0.0
64,0,2011,1,1,0.24,0.0
65,0,2011,1,2,0.5399999999999999,18.75
66,0,2011,1,3,0.6,0.0
67,0,2011,1,4,0.42,56.25
68,0,2011,1,5,0.36,0.0
69,0,2011,1,6,0.06,0.0
70,0,2011,1,7,0.3,0.0
71,0,2011,1,8,0.06,0.0
72,0,2012,0,0,0.0,0.0
73,0,2012,0,1,0.12,0.0
74,0,2012,0,2,0.48,12.0
75,0,2012,0,3,0.44,36.0
76,0,2012,0,4,0.24,12.0
77,0,2012,0,5,0.2,0.0
78,0,2012,0,6,0.0,0.0
79,0,2012,0,7,0.2,0.0
80,0,2012,0,8,0.08,0.0
81,0,2012,1,0,0.0,0.0
82,0,2012,1,1,0.18,0.0
83,0,2012,1,2,0.72,8.000000000000002
84,0,2012,1,3,0.66,24.0
85,0,2012,1,4,0.36,8.000000000000002
86,0,2012,1,5,0.3,0.0
87,0,2012,1,6,0.0,0.0
88,0,2012,1,7,0.3,0.0
89,0,2012,1,8,0.12,0.0
90,0,2013,0,0,0.0,0.0
91,0,2013,0,1,0.08,3.28
92,0,2013,0,2,0.36,4.51
93,0,2013,0,3,0.48,11.889999999999995
94,0,2013,0,4,0.32,4.51
95,0,2013,0,5,0.24,8.200000000000001
96,0,2013,0,6,0.0,0.0
97,0,2013,0,7,0.2,3.28
98,0,2013,0,8,0.08,3.28
99,0,2013,1,0,0.0,0.0
100,0,2013,1,1,0.12,4.64
101,0,2013,1,2,0.5399999999999999,6.38
102,0,2013,1,3,0.72,16.82
103,0,2013,1,4,0.48,6.38
104,0,2013,1,5,0.36,11.6
105,0,2013,1,6,0.0,0.0
106,0,2013,1,7,0.3,4.64
107,0,2013,1,8,0.12,4.64
108,0,2014,0,0,0.0,0.0
109,0,2014,0,1,0.5399999999999999,1.14
110,0,2014,0,2,1.53,3.8000000000000007
111,0,2014,0,3,2.07,9.12
112,0,2014,0,4,1.62,6.460000000000001
113,0,2014,0,5,1.0799999999999998,7.22
114,0,2014,0,6,0.0,0.0
115,0,2014,0,7,0.8999999999999999,4.180000000000001
116,0,2014,0,8,0.36,4.5600000000000005
117,0,2014,1,0,0.0,0.0
118,0,2014,1,1,0.72,1.83
119,0,2014,1,2,2.04,6.1
120,0,2014,1,3,2.76,14.64
121,0,2014,1,4,2.16,10.37
122,0,2014,1,5,1.44,11.59
123,0,2014,1,6,0.0,0.0
124,0,2014,1,7,1.2,6.709999999999999
125,0,2014,1,8,0.48,7.32
126,0,2015,0,0,0.0,0.0
127,0,2015,0,1,0.42,0.37
128,0,2015,0,2,0.63,5.55
129,0,2015,0,3,1.1900000000000002,11.47
130,0,2015,0,4,0.8400000000000001,5.55
131,0,2015,0,5,0.7000000000000001,7.03
132,0,2015,0,6,0.0,0.0
133,0,2015,0,7,0.63,2.5900000000000003
134,0,2015,0,8,0.28,3.33
135,0,2015,1,0,0.0,0.0
136,0,2015,1,1,0.5399999999999999,0.62
137,0,2015,1,2,0.8099999999999999,9.3
138,0,2015,1,3,1.53,19.22
139,0,2015,1,4,1.0799999999999998,9.3
140,0,2015,1,5,0.8999999999999999,11.78
141,0,2015,1,6,0.0,0.0
142,0,2015,1,7,0.8099999999999999,4.34
143,0,2015,1,8,0.36,5.579999999999999
144,0,2016,0,0,0.0,0.0
145,0,2016,0,1,0.35,1.0
146,0,2016,0,2,0.7000000000000001,0.75
147,0,2016,0,3,1.05,6.75
148,0,2016,0,4,0.91,4.5
149,0,2016,0,5,0.7000000000000001,4.5
150,0,2016,0,6,0.0,0.0
151,0,2016,0,7,0.7000000000000001,3.25
152,0,2016,0,8,0.35,3.25
153,0,2016,1,0,0.0,0.0
154,0,2016,1,1,0.5000000000000001,2.96
155,0,2016,1,2,1.0000000000000002,2.22
156,0,2016,1,3,1.5,19.98
157,0,2016,1,4,1.3,13.32
158,0,2016,1,5,1.0000000000000002,13.32
159,0,2016,1,6,0.0,0.0
160,0,2016,1,7,1.0000000000000002,9.62
161,0,2016,1,8,0.5000000000000001,9.62
162,0,2017,0,0,0.0,0.0
163,0,2017,0,1,0.18,1.48
164,0,2017,0,2,0.42,1.48
165,0,2017,0,3,0.7799999999999999,9.99
166,0,2017,0,4,0.6,6.659999999999999
167,0,2017,0,5,0.5399999999999999,5.180000000000001
168,0,2017,0,6,0.0,0.0
169,0,2017,0,7,0.5399999999999999,7.399999999999999
170,0,2017,0,8,0.24,3.7
171,0,2017,1,0,0.0,0.0
172,0,2017,1,1,0.24,2.48
173,0,2017,1,2,0.56,2.48
174,0,2017,1,3,1.04,16.740000000000002
175,0,2017,1,4,0.8,11.159999999999998
176,0,2017,1,5,0.72,8.68
177,0,2017,1,6,0.0,0.0
178,0,2017,1,7,0.72,12.4
179,0,2017,1,8,0.32,6.2
180,0,2018,0,0,0.0,0.0
181,0,2018,0,1,0.05,0.96
182,0,2018,0,2,0.25,0.96
183,0,2018,0,3,0.55,4.48
184,0,2018,0,4,0.55,7.04
185,0,2018,0,5,0.4,7.04
186,0,2018,0,6,0.0,0.0
187,0,2018,0,7,0.4,6.4
188,0,2018,0,8,0.2,3.84
189,0,2018,1,0,0.0,0.0
190,0,2018,1,1,0.08,2.01
191,0,2018,1,2,0.4,2.01
192,0,2018,1,3,0.88,9.38
193,0,2018,1,4,0.88,14.74
194,0,2018,1,5,0.64,14.74
195,0,2018,1,6,0.0,0.0
196,0,2018,1,7,0.64,13.4
197,0,2018,1,8,0.32,8.04
198,0,2019,0,0,0.0,0.0
199,0,2019,0,1,0.08,0.0
200,0,2019,0,2,0.12,1.16
201,0,2019,0,3,0.32,6.09
202,0,2019,0,4,0.36,2.61
203,0,2019,0,5,0.28,8.41
204,0,2019,0,6,0.0,0.0
205,0,2019,0,7,0.2,6.959999999999999
206,0,2019,0,8,0.16,2.61
207,0,2019,1,0,0.0,0.0
208,0,2019,1,1,0.12,0.0
209,0,2019,1,2,0.18,2.8
210,0,2019,1,3,0.48,14.7
211,0,2019,1,4,0.5399999999999999,6.3
212,0,2019,1,5,0.42,20.3
213,0,2019,1,6,0.0,0.0
214,0,2019,1,7,0.3,16.799999999999997
215,0,2019,1,8,0.24,6.3
216,0,2020,0,0,0.0,0.0
217,0,2020,0,1,0.03,1.14
218,0,2020,0,2,0.06,0.0
219,0,2020,0,3,0.18,6.08
220,0,2020,0,4,0.21,8.360000000000001
221,0,2020,0,5,0.18,12.16
222,0,2020,0,6,0.0,0.0
223,0,2020,0,7,0.12,3.42
224,0,2020,0,8,0.09,6.08
225,0,2020,1,0,0.0,0.0
226,0,2020,1,1,0.04,1.83
227,0,2020,1,2,0.08,0.0
228,0,2020,1,3,0.24,9.76
229,0,2020,1,4,0.28,13.419999999999998
230,0,2020,1,5,0.24,19.52
231,0,2020,1,6,0.0,0.0
232,0,2020,1,7,0.16,5.489999999999999
233,0,2020,1,8,0.12,9.76
234,0,2021,0,0,0.0,0.0
235,0,2021,0,1,0.0,0.66
236,0,2021,0,2,0.06,1.65
237,0,2021,0,3,0.15,6.2700000000000005
238,0,2021,0,4,0.21,5.28
239,0,2021,0,5,0.12,5.28
240,0,2021,0,6,0.0,0.0
241,0,2021,0,7,0.12,6.2700000000000005
242,0,2021,0,8,0.09,6.2700000000000005
243,0,2021,1,0,0.0,0.0
244,0,2021,1,1,0.0,1.32
245,0,2021,1,2,0.08,3.3000000000000003
246,0,2021,1,3,0.2,12.54
247,0,2021,1,4,0.28,10.56
248,0,2021,1,5,0.16,10.56
249,0,2021,1,6,0.0,0.0
250,0,2021,1,7,0.16,12.54
251,0,2021,1,8,0.12,12.54
252,0,2022,0,0,0.0,0.0
253,0,2022,0,1,0.0,0.0
254,0,2022,0,2,0.03,2.2500000000000004
255,0,2022,0,3,0.12,7.200000000000001
256,0,2022,0,4,0.18,5.8500000000000005
257,0,2022,0,5,0.15,10.8
258,0,2022,0,6,0.0,0.0
259,0,2022,0,7,0.15,11.7
260,0,2022,0,8,0.09,5.8500000000000005
261,0,2022,1,0,0.0,0.0
262,0,2022,1,1,0.0,0.0
263,0,2022,1,2,0.04,2.7
264,0,2022,1,3,0.16,8.64
265,0,2022,1,4,0.24,7.020000000000001
266,0,2022,1,5,0.2,12.96
267,0,2022,1,6,0.0,0.0
268,0,2022,1,7,0.2,14.040000000000004
269,0,2022,1,8,0.12,7.020000000000001
270,0,2023,0,0,0.0,0.0
271,0,2023,0,1,0.0,0.36
272,0,2023,0,2,0.03,1.0799999999999998
273,0,2023,0,3,0.15,9.0
274,0,2023,0,4,0.21,8.28
275,0,2023,0,5,0.18,5.4
276,0,2023,0,6,0.0,0.0
277,0,2023,0,7,0.12,8.28
278,0,2023,0,8,0.06,2.52
279,0,2023,1,0,0.0,0.0
280,0,2023,1,1,0.0,0.63
281,0,2023,1,2,0.04,1.89
282,0,2023,1,3,0.2,15.75
283,0,2023,1,4,0.28,14.49
284,0,2023,1,5,0.24,9.45
285,0,2023,1,6,0.0,0.0
286,0,2023,1,7,0.16,14.49
287,0,2023,1,8,0.08,4.410000000000001
288,1,2011,0,0,0.0,0.0
289,1,2011,0,1,0.0,0.0
290,1,2011,0,2,0.0,0.0
291,1,2011,0,3,0.0,0.0
292,1,2011,0,4,0.0,0.0
293,1,2011,0,5,0.0,0.0
294,1,2011,0,6,0.0,0.0
295,1,2011,0,7,0.0,0.0
296,1,2011,0,8,0.0,0.0
297,1,2011,1,0,0.0,0.0
298,1,2011,1,1,0.0,0.0
299,1,2011,1,2,0.0,0.0
300,1,2011,1,3,0.0,0.0
301,1,2011,1,4,0.0,0.0
302,1,2011,1,5,0.0,0.0
303,1,2011,1,6,0.0,0.0
304,1,2011,1,7,0.0,0.0
305,1,2011,1,8,0.0,0.0
306,1,2012,0,0,0.0,0.0
307,1,2012,0,1,0.0,0.0
308,1,2012,0,2,0.0,0.0
309,1,2012,0,3,0.0,0.0
310,1,2012,0,4,0.0,0.0
311,1,2012,0,5,0.0,0.0
312,1,2012,0,6,0.0,0.0
313,1,2012,0,7,0.0,0.0
314,1,2012,0,8,0.0,0.0
315,1,2012,1,0,0.0,0.0
316,1,2012,1,1,0.0,0.0
317,1,2012,1,2,0.0,0.0
318,1,2012,1,3,0.0,0.0
319,1,2012,1,4,0.0,0.0
320,1,2012,1,5,0.0,0.0
321,1,2012,1,6,0.0,0.0
322,1,2012,1,7,0.0,0.0
323,1,2012,1,8,0.0,0.0
324,1,2013,0,0,0.0,0.0
325,1,2013,0,1,0.0,0.0
326,1,2013,0,2,0.0,0.0
327,1,2013,0,3,0.0,0.0
328,1,2013,0,4,0.0,0.0
329,1,2013,0,5,0.0,0.0
330,1,2013,0,6,0.0,0.0
331,1,2013,0,7,0.0,0.0
332,1,2013,0,8,0.0,0.0
333,1,2013,1,0,0.0,0.0
334,1,2013,1,1,0.0,0.0
335,1,2013,1,2,0.0,0.0
336,1,2013,1,3,0.0,0.0
337,1,2013,1,4,0.0,0.0
338,1,2013,1,5,0.0,0.0
339,1,2013,1,6,0.0,0.0
340,1,2013,1,7,0.0,0.0
341,1,2013,1,8,0.0,0.0
342,1,2014,0,0,0.0,0.0
343,1,2014,0,1,0.0,0.0
344,1,2014,0,2,0.0,0.0
345,1,2014,0,3,0.0,0.0
346,1,2014,0,4,0.0,0.0
347,1,2014,0,5,0.0,0.0
348,1,2014,0,6,0.0,0.0
349,1,2014,0,7,0.0,0.0
350,1,2014,0,8,0.0,0.0
351,1,2014,1,0,0.0,0.0
352,1,2014,1,1,0.0,0.0
353,1,2014,1,2,0.0,0.0
354,1,2014,1,3,0.0,0.0
355,1,2014,1,4,0.0,0.0
356,1,2014,1,5,0.0,0.0
357,1,2014,1,6,0.0,0.0
358,1,2014,1,7,0.0,0.0
359,1,2014,1,8,0.0,0.0
360,1,2015,0,0,0.0,0.0
361,1,2015,0,1,0.0,0.0
362,1,2015,0,2,0.0,0.0
363,1,2015,0,3,0.0,0.0
364,1,2015,0,4,0.0,0.0
365,1,2015,0,5,0.0,0.0
366,1,2015,0,6,0.0,0.0
367,1,2015,0,7,0.0,0.0
368,1,2015,0,8,0.0,0.0
369,1,2015,1,0,0.0,0.0
370,1,2015,1,1,0.0,0.0
371,1,2015,1,2,0.0,0.0
372,1,2015,1,3,0.0,0.0
373,1,2015,1,4,0.0,0.0
374,1,2015,1,5,0.0,0.0
375,1,2015,1,6,0.0,0.0
376,1,2015,1,7,0.0,0.0
377,1,2015,1,8,0.0,0.0
378,1,2016,0,0,0.0,0.0
379,1,2016,0,1,0.0,0.0
380,1,2016,0,2,0.0,0.0
381,1,2016,0,3,0.0,0.0
382,1,2016,0,4,0.0,0.0
383,1,2016,0,5,0.0,0.0
384,1,2016,0,6,0.0,0.0
385,1,2016,0,7,0.0,0.0
386,1,2016,0,8,0.0,0.0
387,1,2016,1,0,0.0,0.0
388,1,2016,1,1,0.0,0.0
389,1,2016,1,2,0.0,0.0
390,1,2016,1,3,0.0,0.0
391,1,2016,1,4,0.0,0.0
392,1,2016,1,5,0.0,0.0
393,1,2016,1,6,0.0,0.0
394,1,2016,1,7,0.0,0.0
395,1,2016,1,8,0.0,0.0
396,1,2017,0,0,0.0,0.0
397,1,2017,0,1,0.0,0.0
398,1,2017,0,2,0.0,0.0
399,1,2017,0,3,0.0,0.0
400,1,2017,0,4,0.0,0.0
401,1,2017,0,5,0.0,0.0
402,1,2017,0,6,0.0,0.0
403,1,2017,0,7,0.0,0.0
404,1,2017,0,8,0.0,0.0
405,1,2017,1,0,0.0,0.0
406,1,2017,1,1,0.0,0.0
407,1,2017,1,2,0.0,0.0
408,1,2017,1,3,0.0,0.0
409,1,2017,1,4,0.0,0.0
410,1,2017,1,5,0.0,0.0
411,1,2017,1,6,0.0,0.0
412,1,2017,1,7,0.0,0.0
413,1,2017,1,8,0.0,0.0
414,1,2018,0,0,0.0,0.0
415,1,2018,0,1,0.0,0.0
416,1,2018,0,2,0.0,0.0
417,1,2018,0,3,0.01,0.0
418,1,2018,0,4,0.0,1.0000000000000002
419,1,2018,0,5,0.02,2.0000000000000004
420,1,2018,0,6,0.0,0.0
421,1,2018,0,7,0.01,2.0000000000000004
422,1,2018,0,8,0.0,5.0
423,1,2018,1,0,0.0,0.0
424,1,2018,1,1,0.0,0.0
425,1,2018,1,2,0.0,0.0
426,1,2018,1,3,0.01,0.0
427,1,2018,1,4,0.0,9.000000000000002
428,1,2018,1,5,0.02,18.000000000000004
429,1,2018,1,6,0.0,0.0
430,1,2018,1,7,0.01,18.000000000000004
431,1,2018,1,8,0.0,45.0
432,1,2019,0,0,0.0,0.0
433,1,2019,0,1,0.0,0.0
434,1,2019,0,2,0.0,0.0
435,1,2019,0,3,0.0,6.38
436,1,2019,0,4,0.0,9.86
437,1,2019,0,5,0.0,13.34
438,1,2019,0,6,0.0,0.0
439,1,2019,0,7,0.0,13.34
440,1,2019,0,8,0.0,13.34
441,1,2019,1,0,0.0,0.0
442,1,2019,1,1,0.0,0.0
443,1,2019,1,2,0.0,0.0
444,1,2019,1,3,0.0,4.51
445,1,2019,1,4,0.0,6.97
446,1,2019,1,5,0.02,9.43
447,1,2019,1,6,0.0,0.0
448,1,2019,1,7,0.02,9.43
449,1,2019,1,8,0.0,9.43
450,1,2020,0,0,0.0,0.0
451,1,2020,0,1,0.0,0.0
452,1,2020,0,2,0.0,0.0
453,1,2020,0,3,0.0,0.0
454,1,2020,0,4,0.0,0.0
455,1,2020,0,5,0.0,0.0
456,1,2020,0,6,0.0,0.0
457,1,2020,0,7,0.0,0.0
458,1,2020,0,8,0.0,0.0
459,1,2020,1,0,0.0,0.0
460,1,2020,1,1,0.0,0.0
461,1,2020,1,2,0.0,0.0
462,1,2020,1,3,0.0,0.0
463,1,2020,1,4,0.0,0.0
464,1,2020,1,5,0.0,0.0
465,1,2020,1,6,0.0,0.0
466,1,2020,1,7,0.0,0.0
467,1,2020,1,8,0.0,0.0
468,1,2021,0,0,0.0,0.0
469,1,2021,0,1,0.0,0.0
470,1,2021,0,2,0.0,0.0
471,1,2021,0,3,0.0,0.0
472,1,2021,0,4,0.0,0.0
473,1,2021,0,5,0.0,0.0
474,1,2021,0,6,0.0,0.0
475,1,2021,0,7,0.0,0.0
476,1,2021,0,8,0.0,0.0
477,1,2021,1,0,0.0,0.0
478,1,2021,1,1,0.0,0.0
479,1,2021,1,2,0.0,0.0
480,1,2021,1,3,0.0,0.0
481,1,2021,1,4,0.0,0.0
482,1,2021,1,5,0.0,0.0
483,1,2021,1,6,0.0,0.0
484,1,2021,1,7,0.0,0.0
485,1,2021,1,8,0.0,0.0
486,1,2022,0,0,0.0,0.0
487,1,2022,0,1,0.0,0.0
488,1,2022,0,2,0.0,0.0
489,1,2022,0,3,0.0,0.0
490,1,2022,0,4,0.0,0.0
491,1,2022,0,5,0.0,0.0
492,1,2022,0,6,0.0,0.0
493,1,2022,0,7,0.0,0.0
494,1,2022,0,8,0.0,0.0
495,1,2022,1,0,0.0,0.0
496,1,2022,1,1,0.0,0.0
497,1,2022,1,2,0.0,0.0
498,1,2022,1,3,0.0,0.0
499,1,2022,1,4,0.0,0.0
500,1,2022,1,5,0.0,0.0
501,1,2022,1,6,0.0,0.0
502,1,2022,1,7,0.0,0.0
503,1,2022,1,8,0.0,0.0
504,1,2023,0,0,0.0,0.0
505,1,2023,0,1,0.0,0.0
506,1,2023,0,2,0.0,0.0
507,1,2023,0,3,0.0,0.0
508,1,2023,0,4,0.0,0.0
509,1,2023,0,5,0.0,0.0
510,1,2023,0,6,0.0,0.0
511,1,2023,0,7,0.0,0.0
512,1,2023,0,8,0.0,0.0
513,1,2023,1,0,0.0,0.0
514,1,2023,1,1,0.0,0.0
515,1,2023,1,2,0.0,0.0
516,1,2023,1,3,0.0,0.0
517,1,2023,1,4,0.0,0.0
518,1,2023,1,5,0.0,0.0
519,1,2023,1,6,0.0,0.0
520,1,2023,1,7,0.0,0.0
521,1,2023,1,8,0.0,0.0
522,2,2009,0,0,0.0,0.0
523,2,2009,0,1,0.0,0.0
524,2,2009,0,2,0.0,0.0
525,2,2009,0,3,0.0,0.0
526,2,2009,0,4,0.0,0.0
527,2,2009,0,5,0.0,0.0
528,2,2009,0,6,0.0,0.0
529,2,2009,0,7,0.0,0.0
530,2,2009,0,8,0.0,0.0
531,2,2009,1,0,0.0,0.0
532,2,2009,1,1,0.0,0.0
533,2,2009,1,2,0.0,0.0
534,2,2009,1,3,0.0,0.0
535,2,2009,1,4,0.0,0.0
536,2,2009,1,5,0.0,0.0
537,2,2009,1,6,0.0,0.0
538,2,2009,1,7,0.0,0.0
539,2,2009,1,8,0.0,0.0
540,2,2010,0,0,0.0,0.0
541,2,2010,0,1,0.0,0.0
542,2,2010,0,2,0.0,0.0
543,2,2010,0,3,0.0,0.0
544,2,2010,0,4,0.0,0.0
545,2,2010,0,5,0.0,0.0
546,2,2010,0,6,0.0,0.0
547,2,2010,0,7,0.0,0.0
548,2,2010,0,8,0.0,0.0
549,2,2010,1,0,0.0,0.0
550,2,2010,1,1,0.0,0.0
551,2,2010,1,2,0.0,0.0
552,2,2010,1,3,0.0,0.0
553,2,2010,1,4,0.0,0.0
554,2,2010,1,5,0.0,0.0
555,2,2010,1,6,0.0,0.0
556,2,2010,1,7,0.0,0.0
557,2,2010,1,8,0.0,0.0
558,2,2011,0,0,0.0,0.0
559,2,2011,0,1,0.0,0.0
560,2,2011,0,2,0.0,0.0
561,2,2011,0,3,0.0,0.0
562,2,2011,0,4,0.0,0.0
563,2,2011,0,5,0.0,0.0
564,2,2011,0,6,0.0,0.0
565,2,2011,0,7,0.0,0.0
566,2,2011,0,8,0.0,0.0
567,2,2011,1,0,0.0,0.0
568,2,2011,1,1,0.0,0.0
569,2,2011,1,2,0.0,0.0
570,2,2011,1,3,0.0,0.0
571,2,2011,1,4,0.0,0.0
572,2,2011,1,5,0.0,0.0
573,2,2011,1,6,0.0,0.0
574,2,2011,1,7,0.0,0.0
575,2,2011,1,8,0.0,0.0
576,2,2012,0,0,0.0,0.0
577,2,2012,0,1,0.0,0.0
578,2,2012,0,2,0.0,0.0
579,2,2012,0,3,0.0,0.0
580,2,2012,0,4,0.0,0.0
581,2,2012,0,5,0.0,0.0
582,2,2012,0,6,0.0,0.0
583,2,2012,0,7,0.0,0.0
584,2,2012,0,8,0.0,0.0
585,2,2012,1,0,0.0,0.0
