"HealthTopic","Population","Distribution","Unit","Time","RegionCode","RegionName","CategoryIndex","Category","Value"
"Hepatitis B","Acute cases","Distribution by age","%","2006","DE","Germany",1,"0-4",0.093632950
"Hepatitis B","Acute cases","Distribution by age","%","2006","DE","Germany",2,"5-14",1.029962540
"Hepatitis B","Acute cases","Distribution by age","%","2006","DE","Germany",3,"15-19",4.494382020
"Hepatitis B","Acute cases","Distribution by age","%","2006","DE","Germany",4,"20-24",7.584269660
"Hepatitis B","Acute cases","Distribution by age","%","2006","DE","Germany",5,"25-34",23.220973780
"Hepatitis B","Acute cases","Distribution by age","%","2006","DE","Germany",6,"35-44",23.595505610
"Hepatitis B","Acute cases","Distribution by age","%","2006","DE","Germany",7,"45-54",19.850187260
"Hepatitis B","Acute cases","Distribution by age","%","2006","DE","Germany",8,"55-64",11.516853930
"Hepatitis B","Acute cases","Distribution by age","%","2006","DE","Germany",9,"65+",8.614232200
"Hepatitis B","Acute cases","Distribution by age","%","2006","DK","Denmark",1,"0-4",6.250000000
"Hepatitis B","Acute cases","Distribution by age","%","2006","DK","Denmark",2,"5-14",6.250000000
"Hepatitis B","Acute cases","Distribution by age","%","2006","DK","Denmark",3,"15-19",6.250000000
"Hepatitis B","Acute cases","Distribution by age","%","2006","DK","Denmark",4,"20-24",6.250000000
"Hepatitis B","Acute cases","Distribution by age","%","2006","DK","Denmark",5,"25-34",18.750000000
"Hepatitis B","Acute cases","Distribution by age","%","2006","DK","Denmark",6,"35-44",31.250000000
"Hepatitis B","Acute cases","Distribution by age","%","2006","DK","Denmark",7,"45-54",12.500000000
"Hepatitis B","Acute cases","Distribution by age","%","2006","DK","Denmark",8,"55-64",12.500000000
"Hepatitis B","Acute cases","Distribution by age","%","2006","DK","Denmark",9,"65+",0.000000000
"Hepatitis B","Acute cases","Distribution by age","%","2006","EE","Estonia",1,"0-4",0.000000000
"Hepatitis B","Acute cases","Distribution by age","%","2006","EE","Estonia",2,"5-14",0.000000000
"Hepatitis B","Acute cases","Distribution by age","%","2006","EE","Estonia",3,"15-19",6.666666660
"Hepatitis B","Acute cases","Distribution by age","%","2006","EE","Estonia",4,"20-24",22.222222220
"Hepatitis B","Acute cases","Distribution by age","%","2006","EE","Estonia",5,"25-34",35.555555550
"Hepatitis B","Acute cases","Distribution by age","%","2006","EE","Estonia",6,"35-44",20.000000000
"Hepatitis B","Acute cases","Distribution by age","%","2006","EE","Estonia",7,"45-54",6.666666660
"Hepatitis B","Acute cases","Distribution by age","%","2006","EE","Estonia",8,"55-64",4.444444440
"Hepatitis B","Acute cases","Distribution by age","%","2006","EE","Estonia",9,"65+",4.444444440
"Hepatitis B","Acute cases","Distribution by age","%","2006","EL","Greece",1,"0-4",6.756756750
"Hepatitis B","Acute cases","Distribution by age","%","2006","EL","Greece",2,"5-14",4.054054050
"Hepatitis B","Acute cases","Distribution by age","%","2006","EL","Greece",3,"15-19",2.702702700
"Hepatitis B","Acute cases","Distribution by age","%","2006","EL","Greece",4,"20-24",10.810810810
"Hepatitis B","Acute cases","Distribution by age","%","2006","EL","Greece",5,"25-34",25.675675670
"Hepatitis B","Acute cases","Distribution by age","%","2006","EL","Greece",6,"35-44",16.216216210
"Hepatitis B","Acute cases","Distribution by age","%","2006","EL","Greece",7,"45-54",12.162162160
"Hepatitis B","Acute cases","Distribution by age","%","2006","EL","Greece",8,"55-64",8.108108100
"Hepatitis B","Acute cases","Distribution by age","%","2006","EL","Greece",9,"65+",13.513513510
"Hepatitis B","Acute cases","Distribution by age","%","2006","EU27_21","EU (without UK)",1,"0-4",0.941730000
"Hepatitis B","Acute cases","Distribution by age","%","2006","EU27_21","EU (without UK)",2,"5-14",1.677457000
"Hepatitis B","Acute cases","Distribution by age","%","2006","EU27_21","EU (without UK)",3,"15-19",9.976456000
"Hepatitis B","Acute cases","Distribution by age","%","2006","EU27_21","EU (without UK)",4,"20-24",15.067686000
"Hepatitis B","Acute cases","Distribution by age","%","2006","EU27_21","EU (without UK)",5,"25-34",24.838140000
"Hepatitis B","Acute cases","Distribution by age","%","2006","EU27_21","EU (without UK)",6,"35-44",19.658622000
"Hepatitis B","Acute cases","Distribution by age","%","2006","EU27_21","EU (without UK)",7,"45-54",13.890523000
"Hepatitis B","Acute cases","Distribution by age","%","2006","EU27_21","EU (without UK)",8,"55-64",8.240141000
"Hepatitis B","Acute cases","Distribution by age","%","2006","EU27_21","EU (without UK)",9,"65+",5.709240000
"Hepatitis B","Acute cases","Distribution by age","%","2006","EU27_UK_21","EU (with UK until 2019)",1,"0-4",0.831168000
"Hepatitis B","Acute cases","Distribution by age","%","2006","EU27_UK_21","EU (with UK until 2019)",2,"5-14",1.532467000
"Hepatitis B","Acute cases","Distribution by age","%","2006","EU27_UK_21","EU (with UK until 2019)",3,"15-19",9.792207000
"Hepatitis B","Acute cases","Distribution by age","%","2006","EU27_UK_21","EU (with UK until 2019)",4,"20-24",14.727272000
"Hepatitis B","Acute cases","Distribution by age","%","2006","EU27_UK_21","EU (with UK until 2019)",5,"25-34",25.012987000
"Hepatitis B","Acute cases","Distribution by age","%","2006","EU27_UK_21","EU (with UK until 2019)",6,"35-44",20.337662000
"Hepatitis B","Acute cases","Distribution by age","%","2006","EU27_UK_21","EU (with UK until 2019)",7,"45-54",13.896103000
"Hepatitis B","Acute cases","Distribution by age","%","2006","EU27_UK_21","EU (with UK until 2019)",8,"55-64",8.285714000
"Hepatitis B","Acute cases","Distribution by age","%","2006","EU27_UK_21","EU (with UK until 2019)",9,"65+",5.584415000
"Hepatitis B","Acute cases","Distribution by age","%","2006","EUEEA30_21","EU/EEA (without UK)",1,"0-4",0.958556000
"Hepatitis B","Acute cases","Distribution by age","%","2006","EUEEA30_21","EU/EEA (without UK)",2,"5-14",1.635184000
"Hepatitis B","Acute cases","Distribution by age","%","2006","EUEEA30_21","EU/EEA (without UK)",3,"15-19",9.782915000
"Hepatitis B","Acute cases","Distribution by age","%","2006","EUEEA30_21","EU/EEA (without UK)",4,"20-24",15.083168000
"Hepatitis B","Acute cases","Distribution by age","%","2006","EUEEA30_21","EU/EEA (without UK)",5,"25-34",24.809698000
"Hepatitis B","Acute cases","Distribution by age","%","2006","EUEEA30_21","EU/EEA (without UK)",6,"35-44",20.016915000
"Hepatitis B","Acute cases","Distribution by age","%","2006","EUEEA30_21","EU/EEA (without UK)",7,"45-54",13.899069000
"Hepatitis B","Acute cases","Distribution by age","%","2006","EUEEA30_21","EU/EEA (without UK)",8,"55-64",8.204116000
"Hepatitis B","Acute cases","Distribution by age","%","2006","EUEEA30_21","EU/EEA (without UK)",9,"65+",5.610374000
"Hepatitis B","Acute cases","Distribution by age","%","2006","EUEEAUK_21","EU/EEA (with UK until 2019)",1,"0-4",0.850212000
"Hepatitis B","Acute cases","Distribution by age","%","2006","EUEEAUK_21","EU/EEA (with UK until 2019)",2,"5-14",1.500375000
"Hepatitis B","Acute cases","Distribution by age","%","2006","EUEEAUK_21","EU/EEA (with UK until 2019)",3,"15-19",9.627406000
"Hepatitis B","Acute cases","Distribution by age","%","2006","EUEEAUK_21","EU/EEA (with UK until 2019)",4,"20-24",14.753688000
"Hepatitis B","Acute cases","Distribution by age","%","2006","EUEEAUK_21","EU/EEA (with UK until 2019)",5,"25-34",24.981245000
"Hepatitis B","Acute cases","Distribution by age","%","2006","EUEEAUK_21","EU/EEA (with UK until 2019)",6,"35-44",20.630157000
"Hepatitis B","Acute cases","Distribution by age","%","2006","EUEEAUK_21","EU/EEA (with UK until 2019)",7,"45-54",13.903475000
"Hepatitis B","Acute cases","Distribution by age","%","2006","EUEEAUK_21","EU/EEA (with UK until 2019)",8,"55-64",8.252063000
"Hepatitis B","Acute cases","Distribution by age","%","2006","EUEEAUK_21","EU/EEA (with UK until 2019)",9,"65+",5.501375000
"Hepatitis B","Acute cases","Distribution by age","%","2006","FI","Finland",1,"0-4",4.545454540
"Hepatitis B","Acute cases","Distribution by age","%","2006","FI","Finland",2,"5-14",0.000000000
"Hepatitis B","Acute cases","Distribution by age","%","2006","FI","Finland",3,"15-19",4.545454540
"Hepatitis B","Acute cases","Distribution by age","%","2006","FI","Finland",4,"20-24",22.727272720
"Hepatitis B","Acute cases","Distribution by age","%","2006","FI","Finland",5,"25-34",36.363636360
