"HealthTopic","Population","Distribution","Unit","Time","RegionCode","RegionName","CategoryIndex","Category","Value"
"Hepatitis B","Chronic cases","Age-specific rate","N/100000","2006","DE","Germany",1,"0-4",0.000000000
"Hepatitis B","Chronic cases","Age-specific rate","N/100000","2006","DE","Germany",2,"5-14",0.000000000
"Hepatitis B","Chronic cases","Age-specific rate","N/100000","2006","DE","Germany",3,"15-19",0.000000000
"Hepatitis B","Chronic cases","Age-specific rate","N/100000","2006","DE","Germany",4,"20-24",0.000000000
"Hepatitis B","Chronic cases","Age-specific rate","N/100000","2006","DE","Germany",5,"25-34",0.000000000
"Hepatitis B","Chronic cases","Age-specific rate","N/100000","2006","DE","Germany",6,"35-44",0.000000000
"Hepatitis B","Chronic cases","Age-specific rate","N/100000","2006","DE","Germany",7,"45-54",0.008355210
"Hepatitis B","Chronic cases","Age-specific rate","N/100000","2006","DE","Germany",8,"55-64",0.000000000
"Hepatitis B","Chronic cases","Age-specific rate","N/100000","2006","DE","Germany",9,"65+",0.000000000
"Hepatitis B","Chronic cases","Age-specific rate","N/100000","2006","DK","Denmark",1,"0-4",2.767936220
"Hepatitis B","Chronic cases","Age-specific rate","N/100000","2006","DK","Denmark",2,"5-14",1.447749970
"Hepatitis B","Chronic cases","Age-specific rate","N/100000","2006","DK","Denmark",3,"15-19",1.591277250
"Hepatitis B","Chronic cases","Age-specific rate","N/100000","2006","DK","Denmark",4,"20-24",4.461726960
"Hepatitis B","Chronic cases","Age-specific rate","N/100000","2006","DK","Denmark",5,"25-34",13.777574280
"Hepatitis B","Chronic cases","Age-specific rate","N/100000","2006","DK","Denmark",6,"35-44",4.674408960
"Hepatitis B","Chronic cases","Age-specific rate","N/100000","2006","DK","Denmark",7,"45-54",1.366949350
"Hepatitis B","Chronic cases","Age-specific rate","N/100000","2006","DK","Denmark",8,"55-64",0.416712380
"Hepatitis B","Chronic cases","Age-specific rate","N/100000","2006","DK","Denmark",9,"65+",0.243005390
"Hepatitis B","Chronic cases","Age-specific rate","N/100000","2006","EE","Estonia",1,"0-4",0.000000000
"Hepatitis B","Chronic cases","Age-specific rate","N/100000","2006","EE","Estonia",2,"5-14",0.000000000
"Hepatitis B","Chronic cases","Age-specific rate","N/100000","2006","EE","Estonia",3,"15-19",0.000000000
"Hepatitis B","Chronic cases","Age-specific rate","N/100000","2006","EE","Estonia",4,"20-24",1.012453170
"Hepatitis B","Chronic cases","Age-specific rate","N/100000","2006","EE","Estonia",5,"25-34",1.048987720
"Hepatitis B","Chronic cases","Age-specific rate","N/100000","2006","EE","Estonia",6,"35-44",0.538938290
"Hepatitis B","Chronic cases","Age-specific rate","N/100000","2006","EE","Estonia",7,"45-54",4.197271770
"Hepatitis B","Chronic cases","Age-specific rate","N/100000","2006","EE","Estonia",8,"55-64",0.000000000
"Hepatitis B","Chronic cases","Age-specific rate","N/100000","2006","EE","Estonia",9,"65+",0.877693420
"Hepatitis B","Chronic cases","Age-specific rate","N/100000","2006","EU27_21","EU (without UK)",1,"0-4",0.755525000
"Hepatitis B","Chronic cases","Age-specific rate","N/100000","2006","EU27_21","EU (without UK)",2,"5-14",0.549285000
"Hepatitis B","Chronic cases","Age-specific rate","N/100000","2006","EU27_21","EU (without UK)",3,"15-19",2.291523000
"Hepatitis B","Chronic cases","Age-specific rate","N/100000","2006","EU27_21","EU (without UK)",4,"20-24",5.791271000
"Hepatitis B","Chronic cases","Age-specific rate","N/100000","2006","EU27_21","EU (without UK)",5,"25-34",7.308458000
"Hepatitis B","Chronic cases","Age-specific rate","N/100000","2006","EU27_21","EU (without UK)",6,"35-44",3.491975000
"Hepatitis B","Chronic cases","Age-specific rate","N/100000","2006","EU27_21","EU (without UK)",7,"45-54",1.968628000
"Hepatitis B","Chronic cases","Age-specific rate","N/100000","2006","EU27_21","EU (without UK)",8,"55-64",1.422746000
"Hepatitis B","Chronic cases","Age-specific rate","N/100000","2006","EU27_21","EU (without UK)",9,"65+",0.460631000
"Hepatitis B","Chronic cases","Age-specific rate","N/100000","2006","EU27_UK_21","EU (with UK until 2019)",1,"0-4",0.601766000
"Hepatitis B","Chronic cases","Age-specific rate","N/100000","2006","EU27_UK_21","EU (with UK until 2019)",2,"5-14",0.522552000
"Hepatitis B","Chronic cases","Age-specific rate","N/100000","2006","EU27_UK_21","EU (with UK until 2019)",3,"15-19",2.279672000
"Hepatitis B","Chronic cases","Age-specific rate","N/100000","2006","EU27_UK_21","EU (with UK until 2019)",4,"20-24",6.207534000
