"HealthTopic","Population","Distribution","Unit","Time","RegionCode","RegionName","CategoryIndex","Category","Value"
"Hepatitis B","Acute cases","Distribution by gender","%","2006","DE","Germany",1,"Male",69.014084500
"Hepatitis B","Acute cases","Distribution by gender","%","2006","DE","Germany",2,"Female",30.985915490
"Hepatitis B","Acute cases","Distribution by gender","%","2006","DK","Denmark",1,"Male",62.500000000
"Hepatitis B","Acute cases","Distribution by gender","%","2006","DK","Denmark",2,"Female",37.500000000
"Hepatitis B","Acute cases","Distribution by gender","%","2006","EE","Estonia",1,"Male",64.444444440
"Hepatitis B","Acute cases","Distribution by gender","%","2006","EE","Estonia",2,"Female",35.555555550
"Hepatitis B","Acute cases","Distribution by gender","%","2006","EL","Greece",1,"Male",70.666666660
"Hepatitis B","Acute cases","Distribution by gender","%","2006","EL","Greece",2,"Female",29.333333330
"Hepatitis B","Acute cases","Distribution by gender","%","2006","EU27_21","EU (without UK)",1,"Male",64.308871000
"Hepatitis B","Acute cases","Distribution by gender","%","2006","EU27_21","EU (without UK)",2,"Female",35.691128000
"Hepatitis B","Acute cases","Distribution by gender","%","2006","EU27_UK_21","EU (with UK until 2019)",1,"Male",65.327419000
"Hepatitis B","Acute cases","Distribution by gender","%","2006","EU27_UK_21","EU (with UK until 2019)",2,"Female",34.672580000
"Hepatitis B","Acute cases","Distribution by gender","%","2006","EUEEA30_21","EU/EEA (without UK)",1,"Male",64.709203000
"Hepatitis B","Acute cases","Distribution by gender","%","2006","EUEEA30_21","EU/EEA (without UK)",2,"Female",35.290796000
"Hepatitis B","Acute cases","Distribution by gender","%","2006","EUEEAUK_21","EU/EEA (with UK until 2019)",1,"Male",65.645404000
"Hepatitis B","Acute cases","Distribution by gender","%","2006","EUEEAUK_21","EU/EEA (with UK until 2019)",2,"Female",34.354595000
"Hepatitis B","Acute cases","Distribution by gender","%","2006","FI","Finland",1,"Male",63.636363630
"Hepatitis B","Acute cases","Distribution by gender","%","2006","FI","Finland",2,"Female",36.363636360
"Hepatitis B","Acute cases","Distribution by gender","%","2006","FR","France",1,"Male",69.594594590
"Hepatitis B","Acute cases","Distribution by gender","%","2006","FR","France",2,"Female",30.405405400
"Hepatitis B","Acute cases","Distribution by gender","%","2006","HU","Hungary",1,"Male",58.024691350
"Hepatitis B","Acute cases","Distribution by gender","%","2006","HU","Hungary",2,"Female",41.975308640
"Hepatitis B","Acute cases","Distribution by gender","%","2006","IE","Ireland",1,"Male",77.528089880
"Hepatitis B","Acute cases","Distribution by gender","%","2006","IE","Ireland",2,"Female",22.471910110
"Hepatitis B","Acute cases","Distribution by gender","%","2006","LV","Latvia",1,"Male",57.647058820
"Hepatitis B","Acute cases","Distribution by gender","%","2006","LV","Latvia",2,"Female",42.352941170
"Hepatitis B","Acute cases","Distribution by gender","%","2006","NL","Netherlands",1,"Male",75.536480680
"Hepatitis B","Acute cases","Distribution by gender","%","2006","NL","Netherlands",2,"Female",24.463519310
"Hepatitis B","Acute cases","Distribution by gender","%","2006","NO","Norway",1,"Male",73.825503350
"Hepatitis B","Acute cases","Distribution by gender","%","2006","NO","Norway",2,"Female",26.174496640
"Hepatitis B","Acute cases","Distribution by gender","%","2006","RO","Romania",1,"Male",57.722859660
"Hepatitis B","Acute cases","Distribution by gender","%","2006","RO","Romania",2,"Female",42.277140330
"Hepatitis B","Acute cases","Distribution by gender","%","2006","SE","Sweden",1,"Male",65.269461070
"Hepatitis B","Acute cases","Distribution by gender","%","2006","SE","Sweden",2,"Female",34.730538920
"Hepatitis B","Acute cases","Distribution by gender","%","2006","SI","Slovenia",1,"Male",60.000000000
"Hepatitis B","Acute cases","Distribution by gender","%","2006","SI","Slovenia",2,"Female",40.000000000
"Hepatitis B","Acute cases","Distribution by gender","%","2006","SK","Slovakia",1,"Male",56.451612900
"Hepatitis B","Acute cases","Distribution by gender","%","2006","SK","Slovakia",2,"Female",43.548387090
"Hepatitis B","Acute cases","Distribution by gender","%","2006","UK","United Kingdom",1,"Male",73.181818180
"Hepatitis B","Acute cases","Distribution by gender","%","2006","UK","United Kingdom",2,"Female",26.818181810
"Hepatitis B","Acute cases","Distribution by gender","%","2007","CZ","Czechia",1,"Male",71.710526310
"Hepatitis B","Acute cases","Distribution by gender","%","2007","CZ","Czechia",2,"Female",28.289473680
"Hepatitis B","Acute cases","Distribution by gender","%","2007","DE","Germany",1,"Male",69.744160170
"Hepatitis B","Acute cases","Distribution by gender","%","2007","DE","Germany",2,"Female",30.255839820
"Hepatitis B","Acute cases","Distribution by gender","%","2007","DK","Denmark",1,"Male",53.571428570
"Hepatitis B","Acute cases","Distribution by gender","%","2007","DK","Denmark",2,"Female",46.428571420
"Hepatitis B","Acute cases","Distribution by gender","%","2007","EE","Estonia",1,"Male",52.173913040
"Hepatitis B","Acute cases","Distribution by gender","%","2007","EE","Estonia",2,"Female",47.826086950
"Hepatitis B","Acute cases","Distribution by gender","%","2007","EL","Greece",1,"Male",68.000000000
"Hepatitis B","Acute cases","Distribution by gender","%","2007","EL","Greece",2,"Female",32.000000000
"Hepatitis B","Acute cases","Distribution by gender","%","2007","ES","Spain",1,"Male",71.794871790
"Hepatitis B","Acute cases","Distribution by gender","%","2007","ES","Spain",2,"Female",28.205128200
"Hepatitis B","Acute cases","Distribution by gender","%","2007","EU27_21","EU (without UK)",1,"Male",67.276051000
"Hepatitis B","Acute cases","Distribution by gender","%","2007","EU27_21","EU (without UK)",2,"Female",32.723948000
"Hepatitis B","Acute cases","Distribution by gender","%","2007","EU27_UK_21","EU (with UK until 2019)",1,"Male",67.396421000
"Hepatitis B","Acute cases","Distribution by gender","%","2007","EU27_UK_21","EU (with UK until 2019)",2,"Female",32.603578000
"Hepatitis B","Acute cases","Distribution by gender","%","2007","EUEEA30_21","EU/EEA (without UK)",1,"Male",67.232210000
"Hepatitis B","Acute cases","Distribution by gender","%","2007","EUEEA30_21","EU/EEA (without UK)",2,"Female",32.767789000
"Hepatitis B","Acute cases","Distribution by gender","%","2007","EUEEAUK_21","EU/EEA (with UK until 2019)",1,"Male",67.353479000
"Hepatitis B","Acute cases","Distribution by gender","%","2007","EUEEAUK_21","EU/EEA (with UK until 2019)",2,"Female",32.646520000
"Hepatitis B","Acute cases","Distribution by gender","%","2007","FI","Finland",1,"Male",52.941176470
"Hepatitis B","Acute cases","Distribution by gender","%","2007","FI","Finland",2,"Female",47.058823520
"Hepatitis B","Acute cases","Distribution by gender","%","2007","FR","France",1,"Male",72.535211260
"Hepatitis B","Acute cases","Distribution by gender","%","2007","FR","France",2,"Female",27.464788730
"Hepatitis B","Acute cases","Distribution by gender","%","2007","HU","Hungary",1,"Male",77.500000000
"Hepatitis B","Acute cases","Distribution by gender","%","2007","HU","Hungary",2,"Female",22.500000000
"Hepatitis B","Acute cases","Distribution by gender","%","2007","IE","Ireland",1,"Male",81.132075470
"Hepatitis B","Acute cases","Distribution by gender","%","2007","IE","Ireland",2,"Female",18.867924520
"Hepatitis B","Acute cases","Distribution by gender","%","2007","LV","Latvia",1,"Male",69.696969690
"Hepatitis B","Acute cases","Distribution by gender","%","2007","LV","Latvia",2,"Female",30.303030300
"Hepatitis B","Acute cases","Distribution by gender","%","2007","NL","Netherlands",1,"Male",75.770925110
"Hepatitis B","Acute cases","Distribution by gender","%","2007","NL","Netherlands",2,"Female",24.229074880
"Hepatitis B","Acute cases","Distribution by gender","%","2007","NO","Norway",1,"Male",65.833333330
"Hepatitis B","Acute cases","Distribution by gender","%","2007","NO","Norway",2,"Female",34.166666660
"Hepatitis B","Acute cases","Distribution by gender","%","2007","RO","Romania",1,"Male",57.611241210
"Hepatitis B","Acute cases","Distribution by gender","%","2007","RO","Romania",2,"Female",42.388758780
"Hepatitis B","Acute cases","Distribution by gender","%","2007","SE","Sweden",1,"Male",61.306532660
"Hepatitis B","Acute cases","Distribution by gender","%","2007","SE","Sweden",2,"Female",38.693467330
"Hepatitis B","Acute cases","Distribution by gender","%","2007","SI","Slovenia",1,"Male",68.750000000
"Hepatitis B","Acute cases","Distribution by gender","%","2007","SI","Slovenia",2,"Female",31.250000000
"Hepatitis B","Acute cases","Distribution by gender","%","2007","SK","Slovakia",1,"Male",64.000000000
"Hepatitis B","Acute cases","Distribution by gender","%","2007","SK","Slovakia",2,"Female",36.000000000
"Hepatitis B","Acute cases","Distribution by gender","%","2007","UK","United Kingdom",1,"Male",68.496420040
"Hepatitis B","Acute cases","Distribution by gender","%","2007","UK","United Kingdom",2,"Female",31.503579950
"Hepatitis B","Acute cases","Distribution by gender","%","2008","AT","Austria",1,"Male",47.619047610
"Hepatitis B","Acute cases","Distribution by gender","%","2008","AT","Austria",2,"Female",52.380952380
"Hepatitis B","Acute cases","Distribution by gender","%","2008","CZ","Czechia",1,"Male",73.355263150
"Hepatitis B","Acute cases","Distribution by gender","%","2008","CZ","Czechia",2,"Female",26.644736840
"Hepatitis B","Acute cases","Distribution by gender","%","2008","DE","Germany",1,"Male",67.715458270
